"doi","Journal","Publication_year","Publication_year.2","Excluded.abstract.screening","statistical.analysis.and.or.simulations.2","bioinformatic.analysis","additional.comment.on.analysis","Stat_analysis_software","CodePublished","CodePublished.2","CodePublished.3","LinktoCode","BreafDescription","InlineComments","CodeMentioned","CodeMentioned.2","Location_CodeMentioned","LocationShared","LocationShared.2","Repository","FreeSoftware","DataUsed","DataShared.2","DataShared.3","ExtraComments","Second_screener","Changes_after_second_screening","Remarks_on_decisions"
"10.1098/rspb.2018.0758","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","yes","sequencing, PCoA, lmms, glmms, PERMANOVA, Kruskal-Wallis tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions not provided, furthermore 1 out of 4  packages not properly cited, and a function named instead of the package name in one case",NA,NA,NA
"10.1111/1365-2656.12902","JOURNAL OF ANIMAL ECOLOGY",2019,"2018-2019","no","yes","no","glmms, t tests, mantel tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages not properly cited and versions not provided either",NA,NA,NA
"10.1098/rspb.2015.2586","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","yes",NA,"SPSS and Prism","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,"AST-quick",NA,NA
"10.1111/1365-2745.12496","JOURNAL OF ECOLOGY",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1755-0998.12375","MOLECULAR ECOLOGY RESOURCES",2015,"2015-2016","no","no","yes","PCR amplification and sequencing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST",NA,NA
"10.1111/1755-0998.12588","MOLECULAR ECOLOGY RESOURCES",2018,"2018-2019","no","no","yes","sequencing, no really statistics as we know other than very specific from bioinformatics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/1365-2656.12791","JOURNAL OF ANIMAL ECOLOGY",2018,"2018-2019","no","yes","no","bayesian occupancy models, glmms","R and JAGS","yes","yes","yes","https://doi.org/10.1111/1365-2656.12791","yes","yes","yes, code","yes","methods","supplementary file","supplementary file",NA,"yes","yes","yes","yes","JAGS called through R via R package jagsUI",NA,NA,NA
"10.1098/rspb.2015.1167","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1086/697472","AMERICAN NATURALIST",2018,"2018-2019","no","yes","no","theoretical model and simulations run to test it","Mathematica","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1111/mec.13461","MOLECULAR ECOLOGY",2016,"2015-2016","no","yes","yes",NA,"JMP","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1890/14-1261.1","ECOLOGICAL MONOGRAPHS",2015,"2015-2016","no","yes","no","develop/extend, run/impelement a model","R","yes","yes","yes","https://figshare.com/articles/Supplement_1_Data_matrices_and_R_source_code_of_the_software_used_in_the_paper_/3568989","yes","yes","yes, code","yes","methods","repository","repository","Figshare","yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2435.12641","FUNCTIONAL ECOLOGY",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","Openbugs","yes","yes","yes","http://onlinelibrary.wiley.com/doi/10.1111/1365-2435.12641/full#fec12641-sec-0016","yes","yes","yes, code","yes","dataaccessibility and methods","supplementary file","supplementary file",NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2435.13197","FUNCTIONAL ECOLOGY",2018,"2018-2019","no","yes","no","lmms, R2, variance component analysis, AIC, phylogenetic signal","R and Mesquite","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages not properly cited and versions not provided either",NA,NA,NA
"10.1111/1365-2745.13003","JOURNAL OF ECOLOGY",2018,"2018-2019","no","yes","no","glms, glmms, AIC","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions for 3 out of 4 packages not provided, lme4 not properly cited",NA,NA,NA
"10.1890/ES15-00266.1","ECOSPHERE",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1111/1365-2745.13131","JOURNAL OF ECOLOGY",2019,"2018-2019","no","yes","no","glmms, AIC","SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2018.1760","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","lms","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","open access, software used for the analyses unknown","AC-quick",NA,NA
"10.1098/rspb.2016.0811","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","yes",NA,"R","yes","yes","yes","http://datadryad.org/resource/doi:10.5061/dryad.cq7t1","no","yes","yes, code","yes","dataaccessibility and methods","repository","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2018.1716","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","t tests, leave-one-out analyses, permutation analyses","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","software used for the analyses unknown, but they used an R package for the eyetracking procedure. R not properly cited, and R and R package versions not provided",NA,NA,NA
"10.1098/rspb.2018.0939","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","ANOVAs, logistic regressions, glms, bootstrapping, GLS","R","yes","yes","yes","https://figshare.com/articles/Endogenous_oxytocin_predicts_helping_and_conversation_as_a_function_of_group_membership/5620429","no","yes","no","no",NA,"repository","repository","Figshare","yes","yes","yes","yes","R packages not proprely cited and versions not provided",NA,NA,NA
"10.1111/1365-2656.12467","JOURNAL OF ANIMAL ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1890/15-1346.1","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","some","some","yes","http://onlinelibrary.wiley.com/doi/10.1890/15-1346.1/full","yes, good description in metadata and also at the beginning of the script, but R package version not provided","yes","no","no",NA,"supplementary file","supplementary file",NA,"yes","yes","yes","yes",NA,"AST","BreafDescription/Howto changed from no to yes, good description in metadata and also at the beginning of the script, but R package version not provided and CodePublished changed from yes to yes, but not all because Code for the statistical analyses missing, and only code provided corresponds to a function to calculate the heat loss",NA
"10.1002/ecm.1339","ECOLOGICAL MONOGRAPHS",2019,"2018-2019","no","yes","no","correlations, manova, permanova, PCA","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","open access, R not even mentioned but the use the R package ""MixSIAR""","AC","Stat_analysis_software changed from R and Primer to R, and as a consequence, FreeSoftware changed from partially to yes",NA
"10.1111/1365-2664.12621","JOURNAL OF APPLIED ECOLOGY",2016,"2015-2016","no","yes","yes",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/mec.14849","MOLECULAR ECOLOGY",2018,"2018-2019","no","yes","yes","PCA, correlations, GWAS, redundancy analysis, permutations, t tests","R","some","some","yes","https://datadryad.org/resource/doi:10.5061/dryad.93h33","yes, but R packages versions not provided, R not properly cited and R version not provided either","yes","no","no",NA,"repository","repository","Dryad","yes","yes","yes","yes","the code provided is, as described by the authors, R script to convert data in adjusted PLINK format to format suitable for RF analyses. Example run of RF included in script.",NA,NA,NA
"10.1098/rspb.2017.2851","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","glms, random forest models","R","yes","yes","yes","https://github.com/curdon/linguisticDensity_ProcB_derungsEtAl","yes, well explained, but R not properly cited, and R and R packages versions not provided","yes","yes, script","yes","dataaccessibility","repository","repository","GitHub","yes","yes","yes","yes",NA,NA,NA,NA
"10.1890/14-1910.1","ECOLOGY",2015,"2015-2016","no","yes","no","develop/extend, run/impelement a model","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","R and R packages versions not provided, R packages not properly cited although they claim that data have been depositet, it is only some figures on that location","AST",NA,NA
"10.1111/mec.13296","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","no","develop/extend, run/impelement a model","R","yes","yes","yes","http://datadryad.org/resource/doi:10.5061/dryad.68b3g","yes","yes","yes, code","yes","dataaccessibility","repository","repository","Dryad","yes","no",NA,NA,NA,NA,NA,NA
"10.1111/2041-210X.12570","METHODS IN ECOLOGY AND EVOLUTION",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","R and Bugs","yes","yes","yes","http://onlinelibrary.wiley.com/doi/10.1111/2041-210X.12570/abstract","no","yes","yes, code","yes","methods and supplement","supplementary file","supplementary file",NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1890/15-0158.1","ECOLOGY",2015,"2015-2016","no","yes","no",NA,"Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","no",NA,"AST-quick",NA,NA
"10.1111/1365-2664.12453","JOURNAL OF APPLIED ECOLOGY",2015,"2015-2016","no","yes","no","develop/extend, run/impelement a model","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,"AST-quick",NA,NA
"10.1111/1365-2664.13230","JOURNAL OF APPLIED ECOLOGY",2018,"2018-2019","no","yes","yes","permutational ANOVAs, genotyping, nonparametric tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","open access, R and R packages not cited and their versions not provided (except 1 out of 5)",NA,NA,NA
"10.1098/rspb.2015.0795","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2015.2726","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2015.3109","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","C++","yes","yes","yes","http://datadryad.org/resource/doi:10.5061/dryad.c5t22","yes","yes","yes, code","yes","dataaccessibility and methods","repository","repository","Dryad","yes","no",NA,NA,NA,NA,NA,NA
"10.1111/mec.13457","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","yes","also phylogenetic analaysis","R and SPSS and ZT Software","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes",NA,NA,NA,NA
"10.1038/s41437-018-0113-y","HEREDITY",2018,"2018-2019","yes",NA,NA,"review",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41437-018-0083-0","HEREDITY",2019,"2018-2019","no","yes","no","lms, animal models, bootstraping, multivariate mixed models","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","open access, despite using R, they use ASREML, which is not free",NA,NA,NA
"10.1098/rspb.2015.1932","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2745.12582","JOURNAL OF ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2018.0294","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","chi-square, t tests, correlations","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","open access, software used for the analyses unknown","AC-quick",NA,NA
"10.1111/1365-2745.12984","JOURNAL OF ECOLOGY",2018,"2018-2019","no","yes","no","lms, ANOVAs","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R not properly cited",NA,NA,NA
"10.1111/mec.13665","MOLECULAR ECOLOGY",2016,"2015-2016","no","yes","yes",NA,"JMP","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1086/683252","AMERICAN NATURALIST",2015,"2015-2016","no","yes","no",NA,"R and SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes",NA,NA,NA,NA
"10.1890/15-1928","ECOLOGICAL APPLICATIONS",2016,"2015-2016","no","yes","no",NA,"Sigmaplot","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1002/ecy.1554","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1002/ecy.2475","ECOLOGY",2018,"2018-2019","no","yes","no","glms, lms, lmms, glmms","R","yes","yes","yes","https://doi.org/10.1002/ecy.2475","yes, excellent Rmarkdown file with all in very well explained","yes","yes, script","yes","supplement","supplementary file","supplementary file",NA,"yes","yes","yes","yes","not all the R packages versions are provided. Code mentioned in Appendix S1 as ""Models, analyses and results are described in greater detail in the main text and supplementary Rmarkdown script.""",NA,NA,NA
"10.1111/mec.13525","MOLECULAR ECOLOGY",2016,"2015-2016","no","yes","yes","bioinformatic anlaysis in R","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","partially","yes",NA,NA,NA,NA
"10.1111/mec.14517","MOLECULAR ECOLOGY",2018,"2018-2019","no","yes","yes","sequencing, lmms, time-series analysis, Mann-Whitney-Wilcoxon tests, correlations","R","yes","yes","yes","https://scholarsphere.psu.edu/collections/z316q174q","yes, but R not properly cited and R and R packages versions not provided","yes","yes, code","yes","dataaccessibility and methods","repository","repository","Scholarsphere","yes","yes","yes","yes","The repository used is from the Pennsylvania State University",NA,NA,NA
"10.1098/rspb.2018.1698","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","glms, correlations","R","yes","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.n8f2q8g","yes, pretty good","yes","yes, code","yes","dataaccessibility","repository","repository","Dryad","yes","yes","yes","yes","R not properly cited and R version not provided",NA,NA,NA
"10.1111/1365-2435.12941","FUNCTIONAL ECOLOGY",2018,"2018-2019","no","yes","no","Tukey tests, T tests, lmms, meta-analysis, ANOVAs","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","partially","yes","1 out of 2 R packages not properly cited and versions not provided either","AC","DataShared changed from yes to yes, but only some",NA
"10.1111/2041-210X.12962","METHODS IN ECOLOGY AND EVOLUTION",2018,"2018-2019","no","yes","no","GAMs, regressions, lmmms","R","yes","yes","yes","http://www.forestplots.net/data-packages/Sullivan-et-al-2018","yes, but R and R packages versions of 2 out 4 packages not provided","yes","no","no",NA,"webpage","webpage",NA,"yes","yes","yes","yes","open access, data and code hosted in a webpage of a global project called ForestPlots.net",NA,NA,NA
"10.1038/hdy.2015.67","HEREDITY",2016,"2015-2016","no","yes","yes","bioinformatic anlaysis in R","R and Babs and Structure","yes","yes","yes","http://datadryad.org/resource/doi:10.5061/dryad.mr909","no","yes","yes, code","yes","dataaccessibility","repository","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1038/s41437-017-0039-9","HEREDITY",2018,"2018-2019","no","yes","yes","mantel tests, simulations, ANOVAs, distance-based redundancy analysis","R and Nemo and CDPOP","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","partially","yes","R not properly cited, and R and R package version not provided either, Nemo and CDPOP used for simulations, version not provided",NA,NA,NA
"10.1111/1755-0998.12772","MOLECULAR ECOLOGY RESOURCES",2018,"2018-2019","no","no","yes","sequencing, no really statistics as we know other than very specific from bioinformatics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1098/rspb.2017.2329","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","spatial autocorrelations, glms, GAMs, GBMs, least-square regressions, random forests, bootstrapping, t tests, Mann-Whitney tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","open access, R package version of 1 out of 2 packages not provided",NA,NA,NA
"10.1002/ecy.1468","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","yes","yes","yes","http://onlinelibrary.wiley.com/doi/10.1002/ecy.1468/full","no","yes","yes, code","yes","methods and supplement","supplementary file","supplementary file",NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2656.12526","JOURNAL OF ANIMAL ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2656.12809","JOURNAL OF ANIMAL ECOLOGY",2018,"2018-2019","no","yes","no","ANOVAs, mixed models","SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1002/eap.1363","ECOLOGICAL APPLICATIONS",2016,"2015-2016","no","yes","no",NA,"R and SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2745.12489","JOURNAL OF ECOLOGY",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions not provided","AST",NA,NA
"10.1098/rspb.2018.0339","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","ANOVAs, Holm-Sidak tests, t tests","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","data made available as a pdf, a bit annoying, software used for the analyses unknown","AC-quick",NA,NA
"10.1111/mec.14521","MOLECULAR ECOLOGY",2018,"2018-2019","no","yes","yes","DAPC, F tests, ANOVA, mixed models, AIC, permutations tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions of 1 out of 4 not provided",NA,NA,NA
"10.1111/1365-2745.13108","JOURNAL OF ECOLOGY",2019,"2018-2019","no","yes","no","hierarchical Bayesian glm, lmms","R and JAGS","some","some","yes","https://datadryad.org/resource/doi:10.5061/dryad.3555bh3","yes, but R not properly cited, and R and R packages versions not provided (except for 1 package)","yes","yes, code","yes","dataaccessibility","repository","repository","Dryad","yes","yes","yes","yes","open access, JAGS called through R via R package rjags. Bates et al. 2015 cited after referring to lmms, which is the citation generally used for lme4, but lme4 not mentioned and not in the code",NA,NA,NA
"10.1111/1365-2745.12928","JOURNAL OF ECOLOGY",2018,"2018-2019","no","yes","no","lmms, correlations","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2664.13068","JOURNAL OF APPLIED ECOLOGY",2018,"2018-2019","no","yes","yes","constrained analysis, MC permuations, PCA, logistic regression, BLAST search, canonical correspondance analysis","R and JMP and Canoco","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes","R not properly cited",NA,NA,NA
"10.1002/ecs2.2640","ECOSPHERE",2019,"2018-2019","no","yes","no","ANOVAs, lmms, glmms, AIC","R","yes","yes","yes","https://doi.org/10.1002/ecs2.2640","yes, metadata well reported, but R packages versions (except 1) not provided, and many packages shown in the code are not cited nor their versions provided","yes, but little","yes, code","yes","methods","supplementary file","supplementary file",NA,"yes","yes","yes","yes","open access, code is available because paper open access",NA,NA,NA
"10.1098/rspb.2018.1887","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2019,"2018-2019","no","yes","yes","PERMANOVA, sequencing, PERMDISP, NMDS, glm, glmms","R and PRIMER","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes","open access, R not properly cited, and R and R packages versions not provided. PRIMER is indeed a statistical software",NA,NA,NA
"10.1038/s41437-018-0069-y","HEREDITY",2018,"2018-2019","no","yes","no","ANOVAs, glmms, Wald Z tests, randomizations","R","some","some","yes","https://datadryad.org//resource/doi:10.5061/dryad.3571q4t","yes, descriptions of the two functions shared, R and R packages versions not provided","no","no","no",NA,"repository and supplementary file","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1890/15-0914.1","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1038/s41437-017-0033-2","HEREDITY",2018,"2018-2019","no","yes","yes","QTL mapping, F tests, glms, permutations","Shapeworks","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","Data provided as an .Rdata file, and images provided at the OSF. There is some code link via GitHub to the OSF project but I do not think it is the specific code used in the study. It is not clear to me what software they used for the glms",NA,NA,NA
"10.1111/mec.13139","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","no","meta-analysis","Minitab","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1038/s41437-018-0081-2","HEREDITY",2019,"2018-2019","no","yes","no","ANOVAs, G-tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","R packages used not provided, only R in general",NA,NA,NA
"10.1111/mec.13701","MOLECULAR ECOLOGY",2016,"2015-2016","no","no","yes","bioinformatic anlaysis in R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST-quick",NA,"is Bayesian clustering and admixture analysis a stat anlaysis? I would say no for those, however, they performed some model selection based on AIC, which might be bioinformatics-independent, and a test named Templeton which implements a Wilcoxon signed-rank test to determine whether one tree topology is significantly more parsimonious than another. That is, it could be considered as yes, statistics on the basis of that. Not sure though."
"10.1111/mec.13539","MOLECULAR ECOLOGY",2016,"2015-2016","no","yes","yes","Sequencing, read mapping and variant calling, Inference of local ancestry, Gene Ontology enrichment analysis…. Some in R","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,"AST-quick",NA,NA
"10.1086/697563","AMERICAN NATURALIST",2018,"2018-2019","no","yes","yes","lots of other software used for bioinformatics analysis","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","version of R packages generally not provided, but version of bioinformatics packages provided","AC",NA,NA
"10.1038/s41437-018-0172-0","HEREDITY",2019,"2018-2019","no","yes","yes","RR-BLUP, Generalized ridge regression, Bayesian B analysis, heritabilities, correlations, lmms","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","open access, R package version for 1 out of 3 packages not provided, R not properly cited and R version not provided. ASReml used, which is not free despite being in R. Not sure whether to call part of this paper bioinformatics too, I lean towards no",NA,NA,NA
"10.1086/687925","AMERICAN NATURALIST",2016,"2015-2016","yes",NA,NA,"opinion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1890/14-2015.1","ECOLOGICAL APPLICATIONS",2015,"2015-2016","no","yes","no",NA,"R and CharAnalysis","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","R and R package version of 1 out of 2 packages not provided, CharAnalysis seems free but coded in MATLAB, not sure","AST","Stat_analysis_software changed from R to R and CharAnalysis",NA
"10.1890/14-2111.1","ECOLOGICAL APPLICATIONS",2015,"2015-2016","no","yes",NA,NA,"Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","partially","yes",NA,"AST",NA,NA
"10.1111/1365-2656.12534","JOURNAL OF ANIMAL ECOLOGY",2016,"2015-2016","no","yes","no",NA,"JMP","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2745.13106","JOURNAL OF ECOLOGY",2019,"2018-2019","no","yes","no","lms, AIC, lmms","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R and R packages not properly cited, and R packages versions not provided",NA,NA,NA
"10.1098/rspb.2018.1527","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","correlations, lmms, VIF, lms","R","yes","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.0b3k209","no","yes","no","no",NA,"repository","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecs2.2580","ECOSPHERE",2019,"2018-2019","no","yes","no","correlations, lms, lmms, glmms, Tukey post-hoc tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","open access, R packages versions not provided (except 1), despite so many or all of the functions used named, which helps a bit with reproducibility","AC",NA,NA
"10.1002/ecs2.2273","ECOSPHERE",2018,"2018-2019","no","yes","no","ANOVA, Tukey post hoc tests, analysis of covariance, Kruskal-Wallis","JMP","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","open access",NA,NA,NA
"10.1890/15-0671","ECOLOGICAL APPLICATIONS",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2435.13243","FUNCTIONAL ECOLOGY",2019,"2018-2019","no","yes","no","LRT, lmms","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions of 2 out of 3 packages used not provided",NA,NA,NA
"10.1098/rspb.2018.0569","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","glmms, AIC","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","Data shared = no because they simply provide the link of UvA Bird Tracking system and expect you to be able to fetch the specific data used for the study, which I do not think would be actually possible without more information, R not properly cited, and R and R packages versions not provided",NA,NA,NA
